"HolderAddress","Balance","PendingBalanceUpdate"
"0x6707c3a6b874808f92abe471b29ab262ed323cc2","9,238,362.930933052","No"
"0x1d09425d7f6830379d6d5e06cdd2e9b1603ec466","9,217,159.068876459","No"
"0x2227380a821214b95d0f89d49002001bc7d8d82e","9,170,948.187622355","No"
"0xd48f21871c2fe19f06e930703ffca7af1dcbd7a4","9,098,544.58382124","No"
"0x7a153d3b235cc32ca00a29f2da1e066e7c1d0be1","9,092,689.799121581","No"
"0x2fa1ad50810c581a8d051005772f68813eeb65c4","9,039,531.895330124","No"
"0xd50040b01adead30f81b0e0aa3f73718a14fdc51","9,001,424.311229724","No"
"0xe5f43c6365bbc5d92412bfda896e9a969ff2f583","8,898,675.009025853","No"
"0xd1dc6942b4176a5c48ce16fd13ccda4aa0772c55","8,775,999.446937435","No"
"0x03a909ee4b6d8d410ff9983770a0ca3d84f87827","8,750,982.686059088","No"
"0x7f7e4c54a163e160bd00152c14b6f9428979a6de","8,737,583.651872341","No"
"0x230ffd92d44cf75d1fdfd9ae944d1346866bd8f8","8,736,137.077810762","No"
"0x4071c1323ee9c8bf29ca6e2c7df12204d7304ada","8,629,970.781321367","No"
"0x61d46a6cf23727b8fd50b9b67c011611a3560e1f","8,607,449.566183306","No"
"0x6a73ce3b46ec8544682d18ffef3252045c14df2f","8,547,337.959567295","No"
"0x15cceeded6d102dacd0f3f9d424e871a66fab089","8,524,392.016792288","No"
"0x336a546941c4f2cf9436d25a7bfbb19ffbce2992","8,511,779.683081137","No"
"0x7f2e74d3fbe8ea19b54471343c8cf4ad26ea3ba9","8,491,937.123052587","No"
"0x81c928b6d521499afbd3d0fedd51f05f5e5a7f44","8,299,505.345645986","No"
"0x2e61d603dad1dee5f37859a4af91d2d9766492ac","8,179,584.965682614","No"
"0x3c7ee9172ad6107f479970ee20bb6de3ad2c0f24","8,109,936.776413138","No"
"0x20ba7999a88e7130f30d16b74ce56d6aa169e105","8,017,723.6252269","No"
"0x2866fd8187d9507421f718e0fe9f321e4113c8d3","7,987,811.839829761","No"
"0xe333b1bc55ec7ee20b0c39f6d595f299ec811666","7,985,514.8106644","No"
"0x98be20e133e870a235f3a5a2bf5fa5b1b35f1294","7,923,108.716549706","No"
"0xffb25b4361ecab6303ea4b06d97d412ea9a62ae6","7,830,317.079119695","No"
"0xb2f1292dd35fa8a27748caa09d90d0f31e227819","7,810,827.328460577","No"
"0x35b00621c8e8088dcce41e593303faa2b0871f78","7,770,335.930002063","No"
"0xe9c9d210af73234f2a7199b330ef23f6c3683e67","7,621,567.689983722","No"
"0xbbcab88886e90c75044a7c9f50ed49690d750777","7,534,106.433339017","No"
"0x7a4527ce26ab327fad14811500ff30cd84801415","7,479,051.421973502","No"
"0x62ddc6c2cc790315767dfb5187bd85ddad640159","7,467,485.452094843","No"
"0x9f0cb980d30cdda918a3dbf2419ce2f23bb8ecd4","7,426,919.265009769","No"
"0x31bef825436a096594febd0b6866e6f428498323","7,380,003.724059267","No"
"0xc2268a39cf5169dbff0abae416313e5b26032f70","7,339,785.741881765","No"
"0xcaf747360eef9da7bd435857c82f107d3df045e8","7,288,973.291524472","No"
"0x6c9320fc3ec94681229d9ca262a15670fe46c514","7,266,683.019","No"
"0x605567c996e3c36f823c146c6e2ad34320957b70","7,212,731.00320481","No"
"0x7a9586965b4d1ac2fa90019d507783ca7615f713","7,146,569.414348244","No"
"0x8e18638767b41e534f104fb37e6f77ec9b9a9589","7,117,698.678809191","No"
"0xce0f66c09871685fdc6d83e0c74ca83b97f8aff7","7,107,091.410344555","No"
"0x090a8064044b35b521a6acbb0bb16a53451f77a7","7,088,218.160949457","No"
"0xb0497fdae00d13dc8e4c67f25f5be046f1962577","7,040,549.89627956","No"
"0x34e9b658ddb257c7a8272b9f205ef4e81be8451a","7,034,096.862874651","No"
"0xc96cd6d017dd6724eb3619b3c637df8dd7502f78","6,971,868.957175762","No"
"0xfa9b0c0a0ddcd07ad703eafa690eac7782a6c9ac","6,943,017.140592898","No"
"0xdc955cf00b66cda311c7213366e206250fdfd95d","6,921,239.856952502","No"
"0x8d071919d1567e72200b6d50ea29847e275fd3b9","6,911,855.061967133","No"
"0x5653e6a66ab119a2ba4307ba1f20470ec0c1bcde","6,908,267.850325046","No"
"0xcc872060de580afd792f337015eb5374510528cc","6,892,715.384983119","No"
"0x07bdd3ed9d44d846b6f1b7c8b840899121475132","6,859,626.090098482","No"
"0xe07be58dc7707a6d5214930c2d2cd50949db37e7","6,853,713.383785868","No"
"0xdc0898c4c9ddcaf6938076761b4f0bf160c574b4","6,777,080.95701391","No"
"0x575ec9fdb87e152801c86e7246079c8f25097143","6,730,841.485670984","No"
"0x9b0fe31d69dec75ae2e74c847bf09d12248a531a","6,680,757.939445913","No"
"0x68bb68e9eb55872acbbf847d12ac8f151ac7cfad","6,650,000","No"
"0x91cea74ceee77e40aa6e9ddfbbaa1e59febd9288","6,600,484.355845592","No"
"0x1745f02b2ece529569496b0b3e1833434f8a49ca","6,457,538.496201348","No"
"0x1d58802b9a98dfb356d2597b4517bed1ef57aa28","6,418,107.775467744","No"
"0x8f8c78b99bf1a0d38de628245a0032460dce07e5","6,416,513.078442074","No"
"0x3d8dcb07a72bcc5de7ce029b7100b08a3e0207c8","6,364,626.097817354","No"
"0x7e86fa711436eb5b81e011b2cdfb3f3f1be8ff9b","6,260,134.893020483","No"
"0xad093345e065eba7f386fb1f840e58f90cbe4e6d","6,251,984.01166725","No"
"0x5aec800ecb27eca15ff317680596cdd27b615123","6,249,613.718429217","No"
"0x0379223b035a254d2cc9a1fe4a5bb9d83eb02f1e","6,233,425.365151022","No"
"0xd69977ff0f90af0a3bb2dcb1267f8b0aa21eb180","6,221,018.174852571","No"
"0x2d7977eaa76c79125df91e886531553ac2f3336b","6,179,322.536449371","No"
"0xd1ccf869770a0f4e2da73621eb585228b53427d4","6,175,303.844020267","No"
"0x2170cd1b55861c91097dfd5ba00099bfaff13960","6,171,685.626339311","No"
"0x38ce40b1ccbcb8b5c7eadf19763592bf1765e150","6,144,225.473002817","No"
"0x291997b91d20606d86514fd5fce294782a809dfd","6,126,293.125391877","No"
"0xebce2089d1eb8e8e7ab0350439b81c7e43e21d27","6,089,222.264237399","No"
"0x83e292cd74b2205578467a707b4c5ca9e9d09e2b","6,081,355.556779358","No"
"0x6b46a325329ac9609ef83047aefe47e96c432386","6,079,005.206857466","No"
"0x262ee4faa26597daed0d8092df7813fdf4d4ff83","6,055,185.382525064","No"
"0xc0c9a0dfd2e80c8f24bf7a205ccb59b2185c2b53","6,035,965.078284096","No"
"0xb552683320d64c75db1edb3cf10517ab176bef6c","6,029,458.37528894","No"
"0x4473d67206808196fef974636342ce329087f3d8","6,003,725.334676882","No"
"0x9527b4b081f78f9fdc059a9bd2fc4fe34641d8ff","5,970,647.358023534","No"
"0x714673623a445f3c793ecc29929fb1b960610dd7","5,939,695.141136893","No"
"0x5ce6b206c52864730bbcc9b6a88f2b3a4f66f5e1","5,935,564.926207318","No"
"0x095fbd19603c00d78bb2b852929a8d2a52d38277","5,923,340.504121563","No"
"0x92891ed65ab3909db07e815e0c370b1b65d3ae20","5,894,995.644764785","No"
"0xee8d5655c1d5eecb489033be2fc2b21c8391d931","5,757,030.84715542","No"
"0xc6eb48fa5defc4ce9d9b99678baf0eeeec7eb32f","5,735,191.352391605","No"
"0xd916c888aed7fae4008cadf390f98b4621cc0989","5,668,425.156364486","No"
"0x42671d7491d73f6eba982d38ce34fd3f872ad3cf","5,616,026.82211243","No"
"0xbf750dbf6c6780a37819af9eb3f74c270e71b910","5,578,535.61851548","No"
"0x60113ce59cd6e9c4bd57819c623ab835ba0953dd","5,546,411.904957907","No"
"0x135afbac95fb55b6a1b78db8e1cdc814a6e51b40","5,476,905.162847824","No"
"0xdaed721e31f499b482255be8e8f921fe61e02c6f","5,438,716.957168932","No"
"0x8eda75a5669109492f8871235970cb066ee1722d","5,423,361.17703374","No"
"0xbb4ac4488be03b19dbefa56a43f11aca30712586","5,410,234.952521088","No"
"0x30b38b329339faf3ee4117a1f6c53905cc162aa1","5,410,234.952521088","No"
